web-scraper-start-url,project-name,project-description,project-team,devpost-link,project-related-link
"https://trons3.devpost.com/project-gallery","PAT3NT","A NFT platform to Showcase Super Cool and Unique Ideas (Patents)","Manikanta Nynala,Maadhav Sharma,Kunal Jain","https://devpost.com/software/pat3nt","pat3nt.netlify.app,https://pat3nt.netlify.app/,GitHub Repo,https://github.com/Code-Decoders/patent-nft-app,docs.google.com,https://docs.google.com/presentation/d/1flVI6XPy1iWhoM8xcFfc0O5W0CiP5OyBXYb1wNnabkM/edit?usp=sharing"
"https://trons3.devpost.com/project-gallery","uniearn.info","Relying on data recommendation and analysis. Uniearn.info is a platform focusing on on-chain Auto copy trading (supporting NFT, Token, DeFi, DEX, etc.). Let everyone make money like a top investor","Byron lee","https://devpost.com/software/uniearn-info","uniearn.info,https://uniearn.info/"
"https://trons3.devpost.com/project-gallery","PLASMAVERSE","Multi-Phase ARPG Game on Metaverse","geo xyz","https://devpost.com/software/plasmaverse",""
"https://trons3.devpost.com/project-gallery","Amaz-O-Tron 9000 - NFT Profile Pic Generator","Simply upload 📸20 photos of yourself and we'll use AI to generate over 🎨100 amazing photos of you! You can then mint your favourite picture as an NFT.","Konrad Urban,Hugo Montenegro,Tom D","https://devpost.com/software/amaz-o-tron-9000-nft-profile-pic-generator","amaz-o-tron.com,https://amaz-o-tron.com/,GitHub Repo,https://github.com/a-toms/tron_hackathon,youtu.be,https://youtu.be/zaOw2-AbimY"
"https://trons3.devpost.com/project-gallery","uniuni","Get everyone a job in Metaverse","BD UniUni,Valley Wang","https://devpost.com/software/uniuni","uniuni.io,https://uniuni.io"
"https://trons3.devpost.com/project-gallery","Brú Finance","Globally the largest issuer of tokenized real-world assets (RWA), Brú Finance is creating a new paradigm of DeFi 2.5, bringing emerging market asset-backed bonds to DeFi.","Abhishek Bhattacharya,Adhi94,Shivam Kumar Varshney","https://devpost.com/software/bru-finance-1oxfbh","bru.finance,https://bru.finance/"
"https://trons3.devpost.com/project-gallery","D3 IDE (Drag, Drop, Deploy)","Provide an simple developer experience for building custom smart contracts on with or without development or technical experience","Issa Kalonji","https://devpost.com/software/drag-drop-deploy-contract-buidlr","GitHub Repo,https://github.com/IKalonji/Contract.Buidl,contract-buidl.vercel.app,https://contract-buidl.vercel.app/"
"https://trons3.devpost.com/project-gallery","SelfGuard","SelfGuard is a Universal API For Encryption.","Arjun Jain","https://devpost.com/software/selfguard","selfguard.xyz,https://selfguard.xyz"
"https://trons3.devpost.com/project-gallery","Crypto Moon Catz","Most collections have 1 super rare NFT that everybody wants. We have made 25 editions with logos of the top cryptocurrencies, 25 full sets is more like trading cards, this will all us to make a game.","bryan buchanan","https://devpost.com/software/crypto-moon-catz","www.cryptomooncatz.com,http://www.cryptomooncatz.com"
"https://trons3.devpost.com/project-gallery","KeyStream","KeyStream is a platform for people to share subscriptions, API keys, etc., starting with Netflix. We allow users to earn passive income by lending subscriptions in a decentralized fashion.","Rakesh Nori,Walden Yan","https://devpost.com/software/keystream","keystream.xyz,http://keystream.xyz,GitHub Repo,https://github.com/walnutwaldo/KeyStream"
"https://trons3.devpost.com/project-gallery","NFT Smash","NFT Smash is a market-centric and a machine learning-enabled NFT rarity meter: the greater the rarity of an NFT within a collection, the greater the value in TRX.","Osoi Otoko,Yash Madhwal,Yury Yanovich,sasha stepin","https://devpost.com/software/nft-mesh","tronnftmash.web.app,https://tronnftmash.web.app/,tronnftmash.web.app,https://tronnftmash.web.app/smashIt,tronnftmash.web.app,https://tronnftmash.web.app/NFT_Demo/BAYC/00001,GitHub Repo,https://github.com/yashmadhwal/NFTmash,forum.trondao.org,https://forum.trondao.org/t/nft-smash-a-rarity-tool-for-tron-nfts/13683"
"https://trons3.devpost.com/project-gallery","Re modification of Baoziswap and New Releases","Using Baoziswap to provide new and Modern Financial Solutions on Tron Blockchain and Web3 at large","SafeMoney Dev team","https://devpost.com/software/re-modification-of-baoziswap-and-new-releases","baoziswap-941ee.web.app,https://baoziswap-941ee.web.app/,baoziswap.com,https://baoziswap.com"
"https://trons3.devpost.com/project-gallery","Ameta Games","Ameta is a blockchain-based & free-to-play farming game. Ameta will become a gateway to the farming metaverse with various elements to unlock the ultimate farming experiment.","AMETA GAMES","https://devpost.com/software/ameta-games","drive.google.com,https://drive.google.com/file/d/1rHqiboDtXqLcZBxxK828NSRATbaKD6Fd/view,linktr.ee,https://linktr.ee/ameta.games"
"https://trons3.devpost.com/project-gallery","trxmini.games - a staked/wagering GameFi platform","trxmini.games is a staked/wagering platform for players to wager/stake against each other on supported games. Play now!","Nick Mura","https://devpost.com/software/trxmini-games-a-staked-wagering-gamefi-platform","trxmini.games,http://trxmini.games,GitHub Repo,http://github.com/nickmura/trxmini.games"
"https://trons3.devpost.com/project-gallery","Journey","TRON-native quests platform built to onboard the next billion users into crypto through the TRON blockchain.","0xdead lee,minci _,Sofia Perez","https://devpost.com/software/journey-e3jm5y","tryjourney.dev,https://tryjourney.dev,GitHub Repo,https://github.com/iamminci/journey"
"https://trons3.devpost.com/project-gallery","Bring Down Counterfeiting with Drone Monitor","Enable effective management and communication setup for Drones to bring down counterfeiting using NFC based end commissioning of nodes, iot modular gateway and Ethereum and Tron DAO eco-system tools.","Manu Gupta,Deepti Gupta","https://devpost.com/software/polyops","GitHub Repo,https://github.com/seetadev/PolyOps,sites.google.com,https://sites.google.com/view/latcglobal/home,drive.google.com,https://drive.google.com/drive/folders/107GHYZVHIr867kV4abkQaWbeCrSrMwVN,drive.google.com,https://drive.google.com/drive/u/3/folders/1g2HFdfNea9c2lx7J0pAxqbNn1tUmVMP4"
"https://trons3.devpost.com/project-gallery","OpenBiSea","Multi-chain NFT auctions in all-in-one place to cut any NFT deal in a few clicks with a $200M support fund.","oleksiivinogradov Vynogradov","https://devpost.com/software/openbisea-vw4hsc","app.openbisea.io,https://app.openbisea.io"
"https://trons3.devpost.com/project-gallery","Synergy","Synthetic Assets For Raw Materials To Save Nature","Gernar Dev,peteroqwe,nofensis unknown,Anna Kasatkina","https://devpost.com/software/synergy-2d4lgi","synergy-dex.github.io,https://synergy-dex.github.io/landing_page/,synergy-dex.github.io,https://synergy-dex.github.io/,cards-4wp.pages.dev,https://cards-4wp.pages.dev/,GitHub Repo,https://github.com/orgs/synergy-dex/repositories,docs.google.com,https://docs.google.com/presentation/d/1VJsvZD-ftwMgEewWWFCGHCzSqDFZ5bXlMNluLUfx3ks/edit?usp=sharing,www.youtube.com,https://www.youtube.com/watch?v=r2hlTCYfyY8,www.youtube.com,https://www.youtube.com/watch?v=EC4YvdJBtic"
"https://trons3.devpost.com/project-gallery","First Wave","Sci-fi Survival Simulator MMO","First Wave","https://devpost.com/software/firstwave","www.thefirstwave.tk,https://www.thefirstwave.tk,tronscan.org,https://tronscan.org/#/contract/TN8gWt29CmyBMCf9yNCG4ybp4UuqD4Kmmr/code,GitHub Repo,https://github.com/the1stwave/FirstWave,GitHub Repo,https://github.com/the1stwave/FirstWave/tree/main/Client"
"https://trons3.devpost.com/project-gallery","JAFO Trading Club","JAFO is a trading club where as holders of the $JAFO token will receive rewards from any trading gains.","Rob Nickel","https://devpost.com/software/jafo-trading-club-8beiyh","GitHub Repo,https://github.com/JafoTrading/JafoTrading,vimeo.com,https://vimeo.com/765322187,docs.google.com,https://docs.google.com/spreadsheets/d/1lRaQw-RfAj4aQvVIiB1FxzNPU2cATRmuU_K2PKCDGLk/edit#gid=1336213044"
"https://trons3.devpost.com/project-gallery","SkillPay","SkillPay is a decentralized freelancing platform for Freelancers and Employers.","Dominic Akpan","https://devpost.com/software/skillpay","skillpay.digemart.com,http://skillpay.digemart.com,GitHub Repo,https://github.com/Digital-Labrs/SkillPay"
"https://trons3.devpost.com/project-gallery","TRON Unlimited Oracle","Integration of RedStone Unlimited Oracles with the TRON blockchain","Matt Gurbiel,Alex Suvorov","https://devpost.com/software/redstone-synths-on-trone","tron-showroom.redstone.finance,https://tron-showroom.redstone.finance/,app.redstone.finance,https://app.redstone.finance/#/app/tokens,custom.redstone.finance,https://custom.redstone.finance/,GitHub Repo,https://github.com/redstone-finance/redstone-tron-integration"
"https://trons3.devpost.com/project-gallery","Easy TRONsfer","Use TRX and TRC20 tokens to transfer and pay your friends using their Web3 social alias/provider.","Pak Wai Choong","https://devpost.com/software/easy-tronsfer","easy-tronsfer.vercel.app,https://easy-tronsfer.vercel.app"
"https://trons3.devpost.com/project-gallery","Sunrise Portfolio & NFTs","Our web3 project helps people use metamask and nfts easily. We make it easy for people to buy, sell, and use nfts. We also provide an easy too to view the assets in your metamask.","Mohit Shrivastava","https://devpost.com/software/sunrise-portfolio-nfts","tron-hackathon.vercel.app,https://tron-hackathon.vercel.app/"
"https://trons3.devpost.com/project-gallery","Neotech Finance","Exploring, building and monetizing with the first ever Real Metaverse platform.","Steff Norbert,Borsan Doru","https://devpost.com/software/neotech-finance-q2r7vi","GitHub Repo,https://github.com/neotechfinance/neotech,www.youtube.com,https://www.youtube.com/watch?v=byBj-0iXb4E,mint.neotech.finance,https://mint.neotech.finance/#mint"
"https://trons3.devpost.com/project-gallery","TRON POS - HostingGift Cards in Web3","Retailers can host Gift Cards in Web3 without any financial or third party company. TRON POS is a mobile app that issues, redeem and check gift card balances storing them in TRON Blockchain.","Juan Carlos Vera","https://devpost.com/software/tron-web3-gift-cards","Google Play Store,https://play.google.com/store/apps/details?id=com.technoprepay.usdtpos,drive.google.com,https://drive.google.com/file/d/1OLf244Zz46CzBMtE-OYf6oSnVRnk9h1w/view?usp=sharing"
"https://trons3.devpost.com/project-gallery","Tron Gas Station Network","Gas Station Network for Tron which helps on 0 gas fee and reduces the friction on UX.","Ashok M,Sabari H,Mohammed Naveed Shariff,Rahul B,Gokul-Prithiv Prithiv,Pranshu Jha","https://devpost.com/software/tron-gas-station-network",""
"https://trons3.devpost.com/project-gallery","Metaverse Weapons Factory","MWF is the first NFT weapons minter ready for The Metaverse","Louis Grolleau","https://devpost.com/software/metaverse-weapons-factory",""
"https://trons3.devpost.com/project-gallery","Apexgo","Apexgo offers solutions that allows businesses, developers, and NFT enthusiasts the ability to integrate NFTs into their business model, their applications, and their everyday lives.","Apex Go","https://devpost.com/software/apexgo-s5uhj2","www.apexgo.io,http://www.apexgo.io,doc.apexgoapi.com,http://doc.apexgoapi.com"
"https://trons3.devpost.com/project-gallery","StaySAFU","Protecting millions of crypto investors with the crypto scanner StaySAFU","Julien SAFU,Omar Lopez","https://devpost.com/software/staysafu","staysafu.org,https://staysafu.org"
"https://trons3.devpost.com/project-gallery","TrūQoin - Crypto Mining Activity Rewards","TrūQoin's integration of coin mining into the operation of the business will create a symbiotic relationship between the coin's value on crypto markets and the value of the TrūIQ business.","Dan Lutz,ravenflores","https://devpost.com/software/truqoin-crypto-mining-cooperative-5kx06q","19765.truiqglobal.com,https://19765.truiqglobal.com/join/basic-enrollment/,truqoin.io,https://truqoin.io,truqoin.info,https://truqoin.info"
"https://trons3.devpost.com/project-gallery","APPATURE GAMING","APPATURE GAMING","Adamikeoluwa Salawudeen","https://devpost.com/software/appature-gaming","GitHub Repo,https://github.com/Adamikeoluwa/APPATURE-GAMING"
"https://trons3.devpost.com/project-gallery","Capitol Lion Entertainment","Capitol Lion is a NFT Platform built around Music & Entertainment.","olorunfemi damilare,clingy King,Josh Lion,George Olufemi,Tash Lion,segun stephen,Tron Nick","https://devpost.com/software/capitol-lion-entertainment","GitHub Repo,https://github.com/CoreX-Labs/CapitolLion"
"https://trons3.devpost.com/project-gallery","PayLock","Paypal/Interac-transfer for crypto","Ibrahim Samara","https://devpost.com/software/paylock","paylock.vercel.app,https://paylock.vercel.app/"
"https://trons3.devpost.com/project-gallery","Team Space Race","Team Space Race is a 4x/Rts multiplayer in which players race around the galaxy in custom built NFT Space Ships earning tokens and glory along the way.","African-Studios Odesanya","https://devpost.com/software/team-space-race","africanstudios.net,https://africanstudios.net/teamspacerace"
"https://trons3.devpost.com/project-gallery","Match Systems","Match Systems is a provider of AML, Compliance and Investigations data for crypto industry with the deepest level of real-time exploration. We discover what others can’t foresee.","Maksim Panich,Никита","https://devpost.com/software/match-systems","matchsystems.com,https://matchsystems.com,app.matchsystems.com,https://app.matchsystems.com/explorer/tron,GitHub Repo,https://github.com/panichmaxim/matchsystems-tron-hack"
"https://trons3.devpost.com/project-gallery","deTronEvent","A decentralized Event Self-Management Social Network Eco-System for Stakeholders, Sponsors and Influencers","Hein Nguyen,Mạnh Hiếu - Raio,Lam Nguyenson,Steve Le","https://devpost.com/software/detronevent","GitHub Repo,https://github.com/laboon-org/deTronEvent"
"https://trons3.devpost.com/project-gallery","POCP - The Proof of Course Completion Protocol","POCP - The bookmarks of your educational journey. POCPs are digital certificates, minted in recognition of successful course completion.","José Angel Lopez,Bruno Jiménez,Alex Yaroshewski,Cesar Giovani Cruz Piña","https://devpost.com/software/pocp-the-proof-of-course-completion-protocol","GitHub Repo,https://github.com/JoseAngelChepo/pocp-services,GitHub Repo,https://github.com/Brunojime/pocc-app-tron-hackathon,pocp-tron.netlify.app,https://pocp-tron.netlify.app/login,pocc-services.herokuapp.com,https://pocc-services.herokuapp.com/,www.getpostman.com,https://www.getpostman.com/collections/e1d35d67981d36674771,GitHub Repo,https://github.com/CesarGiovani/pocc-smart-contract-tron-hackaton,forum.trondao.org,https://forum.trondao.org/t/pocp-the-proof-of-course-completion-protocol/13630"
"https://trons3.devpost.com/project-gallery","AffliShop","Sales made easy - Affiliate marketing meets with online shopping and web3","JustRug NFT","https://devpost.com/software/afflishop","afflishop.com,http://afflishop.com"
"https://trons3.devpost.com/project-gallery","Eth RoadOps","Monitoring tools for road incident management and reducing traffic congestion. Crowdsourcing information sharing for better and safer roads. Investigative Case Management Platform for Road Incidents.","Vithika Gupta,Deepti Gupta,Manu Gupta","https://devpost.com/software/road-incident-predictor","drive.google.com,https://drive.google.com/drive/folders/1bbHDoY1Y80EOeJP32XDngShnSjkMR55m,GitHub Repo,https://github.com/aspiringsecurity/EthTransport/,sites.google.com,https://sites.google.com/view/aspiring-road-safety/home,GitHub Repo,https://github.com/seetadev/EtherMonitor"
"https://trons3.devpost.com/project-gallery","Tokenomeme","The first multichain meme aggregator","Alexis Proutet,Denisa Milian,Alex Jacquot,Augustin Louet-Prély","https://devpost.com/software/tokenomeme-unsybv","linktr.ee,https://linktr.ee/tokenomeme,GitHub Repo,https://github.com/Tokenomeme/token,tokenomeme.wtf,https://tokenomeme.wtf/Whitepaper.pdf"
"https://trons3.devpost.com/project-gallery","TronDance","Dance to Earn 🕺🏻 | Compete against the dancing world!","shaaran Lakshminarayanan,Ritumbhara Bhatnagar","https://devpost.com/software/trondance","GitHub Repo,https://github.com/devshaaran/TronDance,trondance.netlify.app,https://trondance.netlify.app/"
"https://trons3.devpost.com/project-gallery","Garble.Money","Garble.Money is a privacy-enhanced wallet for TRON users based on Zero-Knowledge Proof and Tronz Protocol. For users, Garble.Money is just like a regular wallet.","Alex Great","https://devpost.com/software/tronzbank","garble.money,https://garble.money/,GitHub Repo,https://github.com/garblemoney"
"https://trons3.devpost.com/project-gallery","DePO, First P2P dApp with API","On DePO you can find or create deals to exchange cryptocurrency to fiat and back, with exchange through P2P trading securely due to smart contracts.","Denis Sid","https://devpost.com/software/depo-first-p2p-dapp-with-api","depo.cash,https://depo.cash"
"https://trons3.devpost.com/project-gallery","Mushroom","The Mushroom Project is a P2E game where you can grow mushrooms, make them NFTs, sell them, or stock them to get Token. The game can be played with four elements: mushrooms, spores, farms, and thief.","재경 염,jihwang kim,민규 송,영훈 차,Chan Kim,kwanhong kim","https://devpost.com/software/mushroom-w956d8","GitHub Repo,https://github.com/0xCatBox/TRON-Grand-Hackathon-Season-3/tree/Mushroom_main"
"https://trons3.devpost.com/project-gallery","Slash Web3 Payments integrates crypto payments and DEX.","Support for EVM network crypto currency with liquidity in DEX. Automatically swap crypto currency at the best rate. Receiving sales in stable coins.","Masato Kato","https://devpost.com/software/slash-web3-payments-integrates-crypto-payments-and-dex",""
"https://trons3.devpost.com/project-gallery","Trongram","We are trying to build a decentralized composable social network on top of Tron ( similar to lens protocol on polygon ), more info as we progress","Ajand Mardalizad","https://devpost.com/software/trongram","6372c2f4c8858600082d6d94--super-trifle-8b1d14.netlify.app,https://6372c2f4c8858600082d6d94--super-trifle-8b1d14.netlify.app/,GitHub Repo,https://github.com/Ajand/trongram-contracts,GitHub Repo,https://github.com/Ajand/trongram-client"
"https://trons3.devpost.com/project-gallery","Nomad Tycoon","The Nomad Tycoon combines traditional board game with modern metaverse to create an immersive experience powered by Tron","dwij patel","https://devpost.com/software/nomad-tycoon-9k5w0v","nomadtycoon.world,https://nomadtycoon.world/,GitHub Repo,https://github.com/harshu4/Nomad-Contracts"
"https://trons3.devpost.com/project-gallery","To the Moon - Play and earn money","To the moon is a game where you will have to take Bitcoin to the highest price level possible. You can play it for free or you can participate in tournaments where you can win money from the pool.","Hrushikesh Kuklare,Sumit Mahajan,Nayan Jagtap","https://devpost.com/software/to-the-moon-play-and-earn-money","to-the-mooon.netlify.app,https://to-the-mooon.netlify.app/"
"https://trons3.devpost.com/project-gallery","Octan Network","Reputation Ranking System for Web3","Paven DO,Truong Phi,JasonT Tran,Toan Le,Long Nguyen","https://devpost.com/software/octan-network","aurora-sbt.octan.network,https://aurora-sbt.octan.network/,13.251.72.3,http://13.251.72.3:8088/superset/dashboard/11/,sbt.octan.network,https://sbt.octan.network/"
"https://trons3.devpost.com/project-gallery","Snake Bite","Snake Bite Classic game build on Web3 with all GameFi, NFT, DeFi features with full of fun","VrGame Dev","https://devpost.com/software/snake-bite-b9q8my","bafybeieve2b6ympe4bu4rudsbudflmqszul43sbz3tyvkvtrkeuddggc6u.ipfs.gateway.valist.io,https://bafybeieve2b6ympe4bu4rudsbudflmqszul43sbz3tyvkvtrkeuddggc6u.ipfs.gateway.valist.io/"
"https://trons3.devpost.com/project-gallery","POOL NO LOSS","TRON blockchain-based lottery win-win In this lottery you can only win, but not lose","Anton Orakul","https://devpost.com/software/pool-no-loss","GitHub Repo,https://github.com/POOL-NO-LOSS"
"https://trons3.devpost.com/project-gallery","InterPool - The Sport Prediction Game where everyone wins!","A Sport Prediction Game with no loosers, where the winners share the interests generated by the deposits of all the participants.","Antoine W,Perrin GRANDNE","https://devpost.com/software/interpool","interpool.vercel.app,https://interpool.vercel.app/,irruption-lab.gitbook.io,https://irruption-lab.gitbook.io/interpool/,GitHub Repo,https://github.com/pgrandne/Interpool/tree/main/core/contracts"
"https://trons3.devpost.com/project-gallery","stop toll corruption","By adding data of vehicle in blockchain we can reduce a corruption of the toll plaza","Maniya Prasann","https://devpost.com/software/stop-toll-corruption","GitHub Repo,https://github.com/maniya1106/toll"
"https://trons3.devpost.com/project-gallery","Gaia Deals","Gaia Deals is an eco-oriented peer to peer marketplace with a sustainable rewards program for its users.","Freddy Mota","https://devpost.com/software/gaia-deals","gaia-deals.vercel.app,https://gaia-deals.vercel.app/,GitHub Repo,https://github.com/AgentF/gaia-deals"
"https://trons3.devpost.com/project-gallery","CryptoMate","Plug & Play Crypto Service Layer from SMEs via APIs","Charly Mate,Ignacio Fefer","https://devpost.com/software/cryptomate-p83slr","cryptomate.me,https://cryptomate.me/api/documentation,api.sandbox.cryptomate.me,https://api.sandbox.cryptomate.me/api/swagger-ui/index.html?urls.primaryName=%20Operations#/"
"https://trons3.devpost.com/project-gallery","SambaCheck","Plugin for a web3 security infrastructure on TRON, where organizations can make non-fungible token (NFT) certifications for products","Destini Moore","https://devpost.com/software/sambacheck","samba-check-tron.vercel.app,https://samba-check-tron.vercel.app/,GitHub Repo,https://github.com/DestMoore/SambaCHECK"
"https://trons3.devpost.com/project-gallery","Plats Network","Marketing platform for converting users from Web2 to Web3 properly","Viet Hung Nguyen（グエン）,Yen Than Thi Hoang,Dung HDinh","https://devpost.com/software/plats-network-cz72au","GitHub Repo,https://github.com/plats-network/tron-hackathon,plats.network,https://plats.network"
"https://trons3.devpost.com/project-gallery","STRX Finance","STRX.FINANCE is a liquid staking protocol unlocking the liquidity of staked assets. TRX Holders can now stake their assets while maintaining the liquidity of these assets.","Strx Finance","https://devpost.com/software/strx-finance","app.strx.finance,https://app.strx.finance,shasta.strx.finance,https://shasta.strx.finance"
"https://trons3.devpost.com/project-gallery","Infinitorr","BitTorrent Chain's Next Generation Ecosystem and Staking Platform","Infini Torr","https://devpost.com/software/infinitorr-c1z0x7","www.infinitorr.io,https://www.infinitorr.io/Main,beautiful-pony-352b46.netlify.app,https://beautiful-pony-352b46.netlify.app/auction,www.torrswap.io,https://www.torrswap.io/"
"https://trons3.devpost.com/project-gallery","Metastore","Cross-game NFTs for the metaverse","Meta store","https://devpost.com/software/metastore","www.meta-store.in,http://www.meta-store.in,docs.meta-store.in,http://docs.meta-store.in,demo.meta-store.in,http://demo.meta-store.in"
"https://trons3.devpost.com/project-gallery","UNIC","UNIC is a platform where signatured NFTs are created, verified, and traded. Signatured NFTs provide creators with protection and users with authentication through invisible QR codes.","Scott Cho","https://devpost.com/software/unic","tron.unic.io,https://tron.unic.io/"
"https://trons3.devpost.com/project-gallery","Tron Tribunals","Tribunal is a decentralized NFT-based voting system for DAOs. DAOs can issue NFTs to wallets based on what matters to the community and the holders of these NFTs can create proposals and vote.","Charles Nwankwo","https://devpost.com/software/tron-tribunals","GitHub Repo,https://github.com/Xavier-Charles/tribunal-tron,tribunal-tron.vercel.app,https://tribunal-tron.vercel.app/,tribunals.vercel.app,https://tribunals.vercel.app/"
"https://trons3.devpost.com/project-gallery","Crypto Cannabis","Crypto Cannabis Grow seed to sale ledgering dapp is built on Tron's Blockchain. CCG DApp is operational for licensed cannabis dispensary use case globally where medically legalized by government law.","DEX Exchange","https://devpost.com/software/crypto-cannabis-8pds4f","ccgdapp.com,https://ccgdapp.com,cryptocannabis.github.io,https://cryptocannabis.github.io,GitHub Repo,https://github.com/DEXExchange/cryptocannabis.github.io"
"https://trons3.devpost.com/project-gallery","Hextopus","On-Chain Referral Marketing(Share-to-Earn) Platform","Shawn Choi,Celine Lee,Diana Leee,Younghoon-Lee","https://devpost.com/software/hextopus","hextopus.app,https://hextopus.app/,medium.com,https://medium.com/@hextopus_protocol,drive.google.com,https://drive.google.com/file/d/1DlcpS563-ARapu32seGe14d65L4k30_G/view"
"https://trons3.devpost.com/project-gallery","GETO.finance","Decentralised Exchange, Yield farming, Staking, Multimedia NFT Marketplace, Staking and Studio on EthereumPOW (ETHW).","Barbara Prakruthi  Tyler,Ivelin Eftimoff,Mike Nsereko,Collin Wang,Nai Isa","https://devpost.com/software/geto-finance","www.geto.finance,https://www.geto.finance,app.geto.finance,https://app.geto.finance,swap.geto.finance,https://swap.geto.finance,nft.geto.finance,https://nft.geto.finance,GitHub Repo,https://github.com/GETOfinance/getoethw"
"https://trons3.devpost.com/project-gallery","zexe","the next-gen crypto exchange with on-chain spot trading, margin and futures trading, perpetuals and option calls","Himanshu Sawarkar,Prasad Kumkar,Mubashir Zebi","https://devpost.com/software/zexe","zexe.io,http://zexe.io,GitHub Repo,https://github.com/ze-xe,twitter.com,https://twitter.com/zexeio,forum.trondao.org,https://forum.trondao.org/t/zexe-advanced-trading-platform-on-tron/11417,drive.google.com,https://drive.google.com/file/d/1Jkc0QIvCIiMqdFbl0g39NF5bQIF0cnmZ/view?usp=sharing"
"https://trons3.devpost.com/project-gallery","Hexagon","Hexagon is aimed at stopping the number of falsified and sub-standard drugs that go into the market, hence, reducing the number of lives at risk.","Chukwuka Okorie,Saheed Lukman,Aroyewon Temitope","https://devpost.com/software/hexagon-ecmvuo","hexagon-silk.vercel.app,https://hexagon-silk.vercel.app/"
"https://trons3.devpost.com/project-gallery","Heritage","A decentralized app that enables the back up, recovery and inheritance of Web3 assets(crypto, private keys, seed phrases, NFTs, digital arts e.t.c) stored in secured vaults powered by BTTC and Arweave","Chukwunonso Iwenor,Amire Joseph,Yinka Tan","https://devpost.com/software/heritage-crypto","GitHub Repo,https://github.com/layinka/heritage-contracts/tree/BTTC,GitHub Repo,https://github.com/layinka/heritage/tree/Bttc,heritagev1.netlify.app,https://heritagev1.netlify.app/,docs.google.com,https://docs.google.com/presentation/d/1gT9MRAdNTVmskwwxhwP2gfC97KpyrERhygGb0SXsWuM/edit?usp=drivesdk"
